taxon_id;family;subfamily;genus;subgenus;specific_epithet;authority;infraspecific_marker;infraspecific_epithet;infraspecific_authority
Ablepharus_alaicus;Scincidae;Eugongylinae;Ablepharus;;alaicus;ELPATJEVSKY, 1901;;;
Ablepharus_alaicus_alaicus;Scincidae;Eugongylinae;Ablepharus;;alaicus;ELPATJEVSKY, 1901;subsp.;alaicus;ELPATJEVSKY, 1901
Ablepharus_alaicus_kucenkoi;Scincidae;Eugongylinae;Ablepharus;;alaicus;ELPATJEVSKY, 1901;subsp.;kucenkoi;NIKOLSKY, 1902
Ablepharus_alaicus_yakovlevae;Scincidae;Eugongylinae;Ablepharus;;alaicus;ELPATJEVSKY, 1901;subsp.;yakovlevae;(EREMCHENKO, 1983)
Ablepharus_anatolicus;Scincidae;Eugongylinae;Ablepharus;;anatolicus;SCHMIDTLER, 1997;;;
Ablepharus_bivittatus;Scincidae;Eugongylinae;Ablepharus;;bivittatus;(MENETRIES, 1832);;;
Ablepharus_budaki;Scincidae;Eugongylinae;Ablepharus;;budaki;GÖCMEN, KUMLUTAS & TOSUNOGLU, 1996;;;
Ablepharus_chernovi;Scincidae;Eugongylinae;Ablepharus;;chernovi;DAREVSKY, 1953;;;
Ablepharus_chernovi_chernovi;Scincidae;Eugongylinae;Ablepharus;;chernovi;DAREVSKY, 1953;subsp.;chernovi;DAREVSKY, 1953
Ablepharus_chernovi_eiselti;Scincidae;Eugongylinae;Ablepharus;;chernovi;DAREVSKY, 1953;subsp.;eiselti;SCHMIDTLER, 1997
Ablepharus_chernovi_isauriensis;Scincidae;Eugongylinae;Ablepharus;;chernovi;DAREVSKY, 1953;subsp.;isauriensis;SCHMIDTLER, 1997
Ablepharus_chernovi_ressli;Scincidae;Eugongylinae;Ablepharus;;chernovi;DAREVSKY, 1953;subsp.;ressli;SCHMIDTLER, 1997
Ablepharus_darvazi;Scincidae;Eugongylinae;Ablepharus;;darvazi;EREMCHENKO & PANFILOV, 1990;;;
Ablepharus_deserti;Scincidae;Eugongylinae;Ablepharus;;deserti;STRAUCH, 1868;;;
Ablepharus_eremchenkoi;Scincidae;Eugongylinae;Ablepharus;;eremchenkoi;(PANFILOV, 1999);;;
Ablepharus_grayanus;Scincidae;Eugongylinae;Ablepharus;;grayanus;(STOLICZKA, 1872);;;
Ablepharus_himalayanus;Scincidae;Eugongylinae;Ablepharus;;himalayanus;(GÜNTHER, 1864);;;
Ablepharus_kitaibelii;Scincidae;Eugongylinae;Ablepharus;;kitaibelii;BIBRON & BORY ST-VINCENT, 1833;;;
Ablepharus_kitaibelii_fabichi;Scincidae;Eugongylinae;Ablepharus;;kitaibelii;BIBRON & BORY ST-VINCENT, 1833;subsp.;fabichi;STEPANEK, 1937
Ablepharus_kitaibelii_fitzingeri;Scincidae;Eugongylinae;Ablepharus;;kitaibelii;BIBRON & BORY ST-VINCENT, 1833;subsp.;fitzingeri;MERTENS, 1952
Ablepharus_kitaibelii_kitaibelii;Scincidae;Eugongylinae;Ablepharus;;kitaibelii;BIBRON & BORY ST-VINCENT, 1833;subsp.;kitaibelii;(BIBRON & BORY, 1833)
Ablepharus_kitaibelii_stepaneki;Scincidae;Eugongylinae;Ablepharus;;kitaibelii;BIBRON & BORY ST-VINCENT, 1833;subsp.;stepaneki;FUHN, 1970
Ablepharus_ladacensis;Scincidae;Eugongylinae;Ablepharus;;ladacensis;(GÜNTHER, 1864);;;
Ablepharus_ladacensis_ladacensis;Scincidae;Eugongylinae;Ablepharus;;ladacensis;(GÜNTHER, 1864);subsp.;ladacensis;(GÜNTHER, 1864)
Ablepharus_ladacensis_stimsoni;Scincidae;Eugongylinae;Ablepharus;;ladacensis;(GÜNTHER, 1864);subsp.;stimsoni;(EREMCENKO, 1992)
Ablepharus_lindbergi;Scincidae;Eugongylinae;Ablepharus;;lindbergi;WETTSTEIN, 1960;;;
Ablepharus_mahabharatus;Scincidae;Eugongylinae;Ablepharus;;mahabharatus;(EREMCHENKO, SHAH & PANFILOV, 1998);;;
Ablepharus_nepalensis;Scincidae;Eugongylinae;Ablepharus;;nepalensis;(EREMCHENKO & HELFENBERGER, 1998);;;
Ablepharus_pannonicus;Scincidae;Eugongylinae;Ablepharus;;pannonicus;(LICHTENSTEIN, 1823);;;
Ablepharus_rueppellii;Scincidae;Eugongylinae;Ablepharus;;rueppellii;(GRAY, 1839);;;
