name,color,year,listed,notes,x16_box,x24_box,x32_box,x64_box,interval,id,hue,sat,val,L,U,V,hue2
Black,#000000,1903,#000000,,Yes,Yes,Yes,Yes,1,1,0,0,0,0,-0,-0,-3.141592653589793
Midnight Blue,#003366,1903,#003366,"Known as ""Prussian Blue"", 1903–1958.[2]",No,No,No,No,1,2,210,1,0.4,21.30642136768597,-11.923631511311243,-40.11169042700177,-1.8597381646766922
Pine Green,#01796F,1903,#01796F,"Known as ""Dark Chrome Green"" (""Chrome Green, Dark"" on labels) or ""Dark Green"", 1903–1949.[2]",No,No,No,No,1,3,175,0.9917355371900827,0.4745098039215686,45.39721311610773,-36.06531543049438,0.6384136958246481,3.1238929046991486
Green,#01A638,1903,#01A638,,Yes,Yes,Yes,Yes,1,4,140,0.9939759036144579,0.6509803921568628,59.49165200449414,-54.87011473507741,61.5734482953604,2.2986907247892945
Blue (I),#2EB4E6,1903,,"Known as ""Celestial Blue"", 1935–1949, and ""Azure Blue"", 1949–1958.[2]",,,,,1,5,196.30434782608697,0.7999999999999999,0.9019607843137255,68.70230235720373,-44.568427913874274,-53.44606526264006,-2.2658662221602386
Ultramarine Blue,#3F26BF,1903,,,,,,,1,6,249.80392156862746,0.8010471204188482,0.7490196078431373,29.919529861235503,-2.772555531191417,-96.9016683708708,-1.5994005744355477
Van Dyke Brown,#664228,1903,,"Same color as ""Brown"" (1903–1910).[2]",,,,,1,7,25.161290322580648,0.607843137254902,0.4,31.520796836604568,25.886634695031432,19.900689130415973,0.6554017354662841
Raw Umber,#665233,1903,#665233,,,,,,1,8,36.47058823529412,0.5,0.4,36.17399314641563,14.690687907951272,22.25965589014231,0.9874447552137282
Medium Chrome Green,#6CA67C,1903,,"""Chrome Green, Medium"" on labels. Produced 1903–1939. Same color as ""Medium Green"" (1903–1939).[2]",,,,,1,9,136.55172413793105,0.3493975903614458,0.6509803921568628,63.27234839936361,-28.30816634548162,26.277188178413788,2.3933847171497633
Celestial Blue,#7070CC,1903,,,,,,,1,10,240,0.4509803921568628,0.8,51.14195752059739,-5.489222212882158,-76.06685424641051,-1.6428345821184558
Violet (I),#732E6C,1903,,"Also known as ""Purple"" (1903–circa 1914).[2]",,,,,1,11,306.0869565217392,0.6000000000000001,0.45098039215686275,31.072152897571534,31.675130275597482,-33.16298126056304,-0.8083413040658752
Charcoal Gray,#736A62,1903,,,,,,,1,12,28.235294117647065,0.1478260869565217,0.45098039215686275,45.40738509945588,5.799775439070748,7.126398870757501,0.8876708705024686
Violet-Blue,#766EC8,1903,#766EC8,"Known as ""Blue-Violet"", 1930–1958.[2]",,,,,1,13,245.33333333333331,0.44999999999999996,0.7843137254901961,50.888316529739654,-2.1253820666518908,-73.16117195157864,-1.5998388422803225
Burnt Umber,#805533,1903,,,,,,,1,14,26.493506493506487,0.6015625,0.5019607843137255,40.12465810391048,32.11735466788166,26.19170605649092,0.6841210246157157
Cobalt Blue,#8C90C8,1903,,,,,,,1,15,236,0.29999999999999993,0.7843137254901961,61.38673511688542,-5.248908069292454,-47.03755439543478,-1.681926306735389
Gold (I),#92926E,1903,,Metallic; swatch represents nominal hue only. Available only in bulk after 1915.[2],,,,,1,16,60,0.24657534246575333,0.5725490196078431,59.703041487122704,1.887387375100536,26.166267511884424,1.498790477627792
Brown,#AF593E,1903,#AF593E,,Yes,Yes,Yes,Yes,1,17,14.336283185840703,0.6457142857142857,0.6862745098039216,47.76356522862562,65.9437890034936,28.102030622892432,0.4028453944994467
Dark Venetian Red,#B33B24,1903,,"""Venetian Red, Dark"" on labels.[2]",,,,,1,18,9.650349650349657,0.7988826815642459,0.7019607843137254,42.524178879396544,94.28815360491816,28.499254699477916,0.293526150737822
Olive Green,#B5B35C,1903,#B5B35C,,No,No,No,Yes,1,19,58.65168539325841,0.49171270718232046,0.7098039215686275,71.44474964812512,5.367083173803834,56.22583130670103,1.4756288511895663
Chestnut,#B94E48,1903,#B94E48,"Known as ""Indian Red"" before 1999.[2]",No,No,Yes,Yes,1,20,3.1858407079646067,0.6108108108108108,0.7254901960784313,47.27985497480359,80.05938487537986,20.291138308939605,0.24822410044887197
Light Chrome Green,#BEE64B,1903,,"""Chrome Green, Light"" on labels. Same color as ""Light Green"" (1903–1935).[2]",,,,,1,21,75.48387096774194,0.673913043478261,0.9019607843137255,86.03096942793579,-18.863932053872055,86.21216748279193,1.7862095997922198
Silver,#C9C0BB,1903,#C9C0BB,"Metallic; swatch represents nominal hue only. Available only in bulk, 1915–1944.[2]",No,No,No,Yes,1,22,21.428571428571466,0.06965174129353237,0.788235294117647,78.28948433216873,5.530666282726317,4.980151351900781,0.7330699452623465
Madder Lake,#CC3336,1903,,,,,,,1,23,358.8235294117647,0.7500000000000001,0.8,46.27857368964851,115.87843804796336,23.955116786825645,0.20385467824495113
English Vermilion,#CC474B,1903,,"Also spelled ""Vermillion"".[2]",,,,,1,24,358.1954887218045,0.6519607843137255,0.8,49.32057205702182,99.51913855753332,19.631384451737624,0.19476187493814778
Venetian Red,#CC553D,1903,,,,,,,1,25,10.069930069930063,0.7009803921568627,0.8,51.46783085030381,93.09853424228896,30.88289931836425,0.32030030568868323
Copper,#DA8A67,1903,#DA8A67,Metallic; swatch represents nominal hue only.[2],No,No,No,No,1,26,18.260869565217387,0.5275229357798165,0.8549019607843137,65.0142891837419,59.4920251877668,33.713821989424325,0.5155703109840074
Permanent Geranium Lake,#E12C2C,1903,,,,,,,1,27,360,0.8044444444444444,0.8823529411764706,49.49117309971075,137.67532129710256,29.701526575531254,0.21247955909939545
Light Venetian Red,#E6735C,1903,,"""Venetian Red, Light"" on labels.[2]",,,,,1,28,10.000000000000004,0.6000000000000001,0.9019607843137255,61.53476962314596,87.5182674519667,31.11009376477045,0.3415392838285642
Raw Sienna (I),#E6BC5C,1903,,,,,,,1,29,41.739130434782616,0.6000000000000001,0.9019607843137255,78.20764517941184,33.934175901673555,62.983261492747374,1.076607442100212
Burnt Sienna,#E97451,1903,#E97451,,No,No,No,Yes,1,30,13.81578947368421,0.6523605150214592,0.9137254901960784,62.0092309552324,91.08654854624723,37.24933338426947,0.38819320133806307
Red,#ED0A3F,1903,#ED0A3F,,Yes,Yes,Yes,Yes,1,31,345.9911894273128,0.9578059071729959,0.9294117647058824,50.199683388101846,151.80750426569284,21.28291551115836,0.13928888334344805
Maize,#F2C649,1903,#F2C649,"Known as ""Gold Ochre"", 1903–1958. ""Golden Ochre"" on some labels.[2]",,,,,1,32,44.37869822485207,0.6983471074380165,0.9490196078431372,81.70227198212999,36.70129518539334,74.52527555320638,1.1131926497095315
Magenta,#F653A6,1903,#F653A6,"Same color as ""Permanent Magenta"" (1903–?).[2]",No,No,No,Yes,1,33,329.44785276073617,0.66260162601626,0.9647058823529412,60.37129020302473,98.6734250497208,-27.750310886905687,-0.27415251934650364
Yellow,#FBE870,1903,#FBE870,,Yes,Yes,Yes,Yes,1,34,51.79856115107914,0.5537848605577689,0.984313725490196,91.41291044282949,18.17527675491036,75.66410874903295,1.3350527778568244
Goldenrod,#FCD667,1903,#FCD667,"Known as ""Medium Chrome Yellow"" (1903–?) and ""Medium Yellow"" (1903–1958).[2]",No,No,No,Yes,1,35,44.697986577181204,0.5912698412698413,0.9882352941176471,86.88474798694952,31.36154563093499,71.28489532038033,1.1563342116376292
Orange,#FF8833,1903,#FF8833,,Yes,Yes,Yes,Yes,1,36,25.000000000000004,0.8,1,68.83329181778008,97.0564869098508,57.18757085844252,0.5324549201282734
Carnation Pink,#FFA6C9,1903,#FFA6C9,"Known as ""Rose Pink"" (1903–1958) and ""Pink"" (1903–1917).[2]",Yes,Yes,Yes,Yes,1,37,336.4044943820225,0.34901960784313724,1,77.7290870062915,53.687161164180914,-13.116442293684377,-0.2396185603194647
