prize,year,artist,title,subject,n_finalists
Archibald Prize,1921,William McInnes,Desbrowe Annear,Harold  Desbrowe-Annear,45
Archibald Prize,1922,William McInnes,Professor Harrison Moore,William Harrison  Moore,53
Archibald Prize,1923,William McInnes,Portrait of a Lady,Violet McInnes,50
Archibald Prize,1924,William McInnes,Miss Collins,Gladys Neville Collins,40
Archibald Prize,1925,John Longstaff,Maurice Moscovitch,Maurice  Moscovitch,74
Archibald Prize,1926,William McInnes,Silk and Lace (Miss Esther Paterson),Esther  Paterson,58
Archibald Prize,1927,George W. Lambert,Mrs Annie Murdoch,Annie Murdoch,56
Archibald Prize,1928,John Longstaff,Dr Alexander Leeper,Alexander  Leeper,66
Archibald Prize,1929,John Longstaff,"The Hon W A Holman, KC",William Holman,75
Archibald Prize,1930,William McInnes,Drum-Major Harry McClelland,Harry McClelland,67
Archibald Prize,1931,John Longstaff,Sir John Sulman,John  Sulman,74
Archibald Prize,1932,Ernest Buckmaster,Sir William Irvine,William  Irvine,70
Archibald Prize,1933,Charles Wheeler,Ambrose Pratt,Ambrose  Pratt,NA
Archibald Prize,1934,Henry Hanke,Self Portrait,Henry  Hanke,92
Archibald Prize,1935,John Longstaff,AB (Banjo) Paterson,Banjo Paterson,120
Archibald Prize,1936,William McInnes,Dr Julian Smith,Julian Smith,137
Archibald Prize,1937,Normand Baker,Self portrait,Normand  Baker,141
Archibald Prize,1938,Nora Heysen,Mme Elink Schuurman,Adine Michele Elink Schuurman,145
Archibald Prize,1939,Max Meldrum,"Hon G J Bell, C.M.G., D.S.O., V.D., (Speaker, House of Representatives)",George John  Bell,135
Archibald Prize,1940,Max Meldrum,Dr J Forbes McKenzie,Forbes McKenzie,156
Archibald Prize,1941,William Dargie,"Sir James Elder, KBE",Sir James Elder,133
Archibald Prize,1942,William Dargie,"Corporal Jim Gordon, VC",Jim  Gordon,111
Archibald Prize,1943,William Dobell,Mr Joshua Smith,Joshua  Smith,148
Archibald Prize,1944,Joshua Smith,"Speaker, House of Representatives, Hon. J. S. Rosevear, M.P.",Sol Rosevear,185
Archibald Prize,1945,William Dargie,"Lt-General The Hon Edmund Herring, KBC, DSO, MC, ED",Edmund  Herring,197
Archibald Prize,1946,William Dargie,"L C Robson, MC, MA",Robson,80
Archibald Prize,1947,William Dargie,"Sir Marcus Clark, Kt., K.B.E. [sic]",Reginald  Marcus Clark,84
Archibald Prize,1948,William Dobell,Margaret Olley,Margaret Olley,81
Archibald Prize,1949,Arthur Murch,Bonar Dunlop,Bonar Dunlop,81
Archibald Prize,1950,William Dargie,Sir Leslie McConnan,Leslie McConnan,86
Archibald Prize,1951,Ivor Hele,Laurie Thomas,Thomas,92
Archibald Prize,1952,William Dargie,"Mr Essington Lewis, CH",Essington Lewis,83
Archibald Prize,1953,Ivor Hele,"Sir Henry Simpson Newland, CBE, DSO, MS, FRCS",Henry Simpson  Newland,72
Archibald Prize,1954,Ivor Hele,"Rt. Hon. R. G. Menzies, P.C., C.H., Q.C., M.P.",Robert Menzies,77
Archibald Prize,1955,Ivor Hele,Robert Campbell Esq,Robert  Campbell,88
Archibald Prize,1956,William Dargie,Mr Albert Namatjira,Albert Namatjira,61
Archibald Prize,1957,Ivor Hele,Self portrait,Ivor  Hele,69
Archibald Prize,1958,William Pidgeon,Mr Ray Walker,Walker,66
Archibald Prize,1959,William Dobell,Dr Edward MacMahon,MacMahon,66
Archibald Prize,1960,Judy Cassab,Stanislaus Rapotec,Stanislav Rapotec,80
Archibald Prize,1961,William Pidgeon,Rabbi Dr I. Porush,Israel Porush,61
Archibald Prize,1962,Louis Kahan,Patrick White,Patrick White,81
Archibald Prize,1963,Jack Carington Smith,Professor James McAuley,James McAuley,65
Archibald Prize,1965,Clifton Pugh,"RA Henderson, Esq","Rupert ""Rags"" Henderson",63
Archibald Prize,1966,Jon Molvig,Charles Blackman,Charles Blackman,71
Archibald Prize,1967,Judy Cassab,Margo Lewers,Margo Lewers,41
Archibald Prize,1968,William Pidgeon,Lloyd Rees,Lloyd Rees,141
Archibald Prize,1969,Ray Crooke,George Johnston,George Johnston,71
Archibald Prize,1970,Eric Smith,Gruzman – architect,Neville Gruzman,15
Archibald Prize,1971,Clifton Pugh,Sir John McEwen,John McEwen,17
Archibald Prize,1972,Clifton Pugh,The Hon E.G. Whitlam,Gough Whitlam,53
Archibald Prize,1973,Janet Dawson,Michael Boddy,Michael Boddy,53
Archibald Prize,1974,Sam Fullbrook,Jockey Norman Stephens,Norman Stephens,50
Archibald Prize,1975,Kevin Connor,"The Hon Sir Frank Kitto, KBE",Frank Kitto,40
Archibald Prize,1976,Brett Whiteley,Self portrait in the studio,Brett  Whiteley,29
Archibald Prize,1977,Kevin Connor,Robert Klippel,Robert Klippel,35
Archibald Prize,1978,Brett Whiteley,"Art, Life and the other thing",Brett  Whiteley,39
Archibald Prize,1979,Wes Walters,Portrait of Phillip Adams,Phillip Adams,35
Archibald Prize,1981,Eric Smith,Rudy Komon,Rudy Komon,24
Archibald Prize,1982,Eric Smith,Peter Sculthorpe,Peter Sculthorpe,26
Archibald Prize,1983,Nigel Thomson,Chandler Coventry,Chandler Coventry,28
Archibald Prize,1984,Keith Looby,Max Gillies,Max Gillies,27
Archibald Prize,1985,Guy Warren,Flugelman with Wingman,Bert Flugelman,25
Archibald Prize,1986,Davida Allen,Dr John Arthur McKelvey Shera,Shera,26
Archibald Prize,1987,William Robinson,Equestrian Self Portrait,William  Robinson,26
Archibald Prize,1988,Fred Cress,John Beard,John Stanley Beard,25
Archibald Prize,1989,Bryan Westwood,Portrait of Elwyn Lynn,Elwyn  Lynn,24
Archibald Prize,1990,Geoffrey Proud,Dorothy Hewett,Dorothy  Hewett,31
Archibald Prize,1991/92,Bryan Westwood,The Prime Minister,Paul Keating,NA
Archibald Prize,1993,Garry Shead,Tom Thompson,Tom Thompson,27
Archibald Prize,1994,Francis Giacco,Homage to John Reichard,Reichard,32
Archibald Prize,1995,William Robinson,Self Portrait with Stunned Mullet,William  Robinson,28
Archibald Prize,1996,Wendy Sharpe,Self Portrait – as Diana of Erskineville,Wendy Sharpe,32
Archibald Prize,1997,Nigel Thomson,Barbara Blackman,Barbara Blackman,31
Archibald Prize,1998,Lewis Miller,Portrait of Allan Mitelman No 3,Allan Mitelman,29
Archibald Prize,1999,Euan Macleod,Self-portrait/head like a hole,Euan Macleod,33
